iter	Passed	Remaining
0	0	83
1	1	80
2	2	77
3	3	73
4	3	74
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
